G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,epsilon,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,3,35597,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 449, 516, 668, 868, 1123, 1509, 1918, 2491, 2906, 3335, 3608, 3550, 3139, 2639, 2099, 1544, 1075, 682, 412, 249, 124, 65, 17, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,4,36177,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 575, 720, 953, 1197, 1659, 2158, 2688, 3385, 3683, 3851, 3633, 3092, 2495, 1831, 1295, 835, 472, 289, 152, 80, 22, 9, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,2,36233,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 552, 720, 1004, 1379, 1874, 2454, 3146, 3633, 3986, 3794, 3330, 2807, 2169, 1615, 1109, 739, 417, 223, 123, 55, 21, 9, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,1,36069,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 439, 578, 679, 955, 1251, 1645, 2139, 2701, 3226, 3608, 3816, 3616, 3120, 2508, 1904, 1286, 829, 513, 318, 186, 70, 44, 15, 8, 0, 1, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,9,35909,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 571, 696, 912, 1227, 1726, 2301, 2870, 3510, 3874, 3887, 3565, 2921, 2337, 1656, 1118, 724, 448, 267, 133, 51, 20, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,8,35971,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 554, 670, 845, 1072, 1457, 1879, 2369, 2901, 3469, 3820, 3686, 3328, 2737, 2107, 1488, 1009, 650, 440, 258, 112, 44, 8, 8, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,1,36104,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 555, 692, 941, 1253, 1664, 2145, 2769, 3312, 3710, 3732, 3584, 3057, 2462, 1820, 1306, 868, 530, 333, 179, 85, 22, 11, 5, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,2,36093,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 568, 764, 982, 1358, 1807, 2350, 2969, 3498, 3759, 3909, 3488, 3049, 2274, 1580, 1113, 698, 417, 238, 114, 52, 8, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,3,35998,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 483, 583, 744, 947, 1260, 1664, 2166, 2736, 3281, 3739, 3914, 3574, 3072, 2388, 1742, 1235, 824, 508, 272, 152, 66, 22, 8, 5, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,6,35807,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 562, 682, 866, 1166, 1424, 1865, 2420, 2931, 3387, 3561, 3530, 3208, 2789, 2107, 1610, 1049, 688, 455, 237, 116, 52, 18, 5, 3, 0]"
