id,peak,total
1216,7484,46096
1228,7430,46101
1196,7548,46016
1197,7533,46259
1195,7593,46109
1204,7453,46268
1205,7562,46127
1202,7515,46008
1212,7562,45778
1227,7520,46260
1214,7473,45939
1201,7424,46103
1207,7465,45948
1215,7432,46168
1221,7502,45912
1217,7513,45995
1206,7513,45930
1229,7343,46373
1222,7399,45965
1213,7561,46285
1208,7500,46066
1233,7332,46259
1209,7505,45809
1224,7282,45952
1242,7591,46220
1211,7531,46068
1225,7498,45907
1219,7384,45721
1226,7306,45918
1218,7482,45889
1220,7520,46281
1230,7472,46141
1231,7682,46045
1234,7243,45864
1235,7336,46003
1223,7534,45970
1239,7544,46123
1240,7259,45803
1236,7404,45834
1248,7501,45759
1238,7424,46354
1249,7460,46181
1241,7418,46082
1232,7403,45861
1255,7367,45720
1246,7477,46097
1237,7660,46069
1247,7271,45616
1260,7347,45933
1244,7523,46129
1243,7465,46052
1257,7422,45860
1250,7252,45955
1253,7393,46039
1245,7577,46201
1252,7276,46070
1251,7403,45976
1254,7532,46173
1278,7308,45659
1261,7364,45911
1259,7366,45805
1270,7425,45776
1268,7549,45973
1265,7495,45861
1256,7396,45652
1273,7324,45761
1258,7437,45768
1292,7284,45970
1263,7313,45825
1277,7465,45691
1267,7508,46098
1281,7503,45904
1266,7425,45813
1291,7279,45853
1276,7301,45883
1269,7211,45484
1264,7408,46030
1274,7319,45809
1262,7406,45882
1293,7424,46021
1299,7392,45769
1272,7301,45753
1286,7392,46193
1271,7326,46030
1280,7293,45825
1282,7291,45522
1283,7313,45968
1275,7340,45842
1301,7304,45989
1303,7314,45775
1279,7386,45633
1287,7839,46038
1310,7523,45776
1288,7464,45950
1289,7433,45793
1290,7353,45815
1284,7315,45987
1313,7274,45322
1285,7309,45644
1296,7390,45632
1298,7356,45850
1294,7522,45660
1295,7488,45839
1306,7375,45923
1316,7488,45621
1324,7374,45823
1297,7377,45673
1312,7262,45845
1304,7343,45636
1300,7251,45617
1314,7342,45526
1305,7317,45573
1320,7318,45671
1328,7250,45522
1327,7292,45774
1302,7169,45827
1311,7302,45856
1317,7259,45623
1307,7425,45825
1308,7510,45939
1322,7331,45448
1309,7234,45592
1319,7320,45793
1321,7486,46069
1325,7314,45426
1315,7241,45639
1339,7292,45633
1333,7283,45445
1336,7407,45636
1334,7338,45554
1331,7214,45660
1335,7402,45816
1329,7559,45616
1318,7131,45568
1323,7353,45603
1326,7290,45783
1342,7390,45705
1355,7299,45577
1330,7256,45661
1340,7149,45775
1332,7359,45912
1343,7199,45543
1351,7431,45595
1338,7250,45494
1341,7252,45547
1337,7213,45592
1349,7353,45720
1352,7306,45768
1347,7204,45529
1344,7137,45517
1361,7055,45450
1359,7329,45624
1353,7310,45821
1360,7273,45588
1345,7266,45726
1346,7437,45922
1364,7262,45512
1365,7422,45557
1368,7232,45479
1348,7349,45740
1354,7253,45533
1356,7339,45416
1370,7198,45486
1350,7310,45723
1357,7260,45658
1367,7256,45593
1380,7199,45725
1358,7187,45621
1381,7000,45318
1375,7300,45622
1388,7193,45542
1366,7243,45481
1392,7198,45740
1363,7318,45617
1377,7096,45466
1371,7293,45782
1387,7250,45517
1369,7305,45879
1362,7278,45789
1383,7212,45569
1372,7179,45572
1378,7327,45912
1373,7275,45390
1389,7255,45514
1379,7298,45617
1382,7359,45641
1374,7272,45657
1386,7439,45696
1385,7361,45371
1417,7097,45432
1390,7238,45264
1398,7204,45421
1410,7209,45525
1402,7187,45510
1376,7355,45609
1384,7183,45592
1422,7267,45518
1404,7303,45534
1411,7225,45445
1393,7127,45166
1396,7292,45360
1407,7214,45539
1391,7260,45468
1397,7274,45338
1395,7357,45585
1400,7268,45452
1399,7217,45513
1401,7182,45164
1406,7347,45242
1423,7228,45398
1394,7209,45595
1412,7290,45438
1405,7014,45326
1409,7245,45132
1403,7256,45281
1408,7312,45463
1415,7223,45415
1425,7108,45009
1414,7209,45581
1441,7075,45303
1426,7319,45275
1427,7143,45162
1420,7248,45381
1418,7174,45511
1416,7219,45207
1413,7200,45578
1419,7315,45398
1428,7318,45404
1424,7348,45603
1436,7057,45343
1421,7200,45192
1445,7355,45481
1450,7108,45045
1429,7335,45382
1431,7202,45511
1448,7219,45249
1434,7153,45194
1439,7292,45913
1430,7181,45571
1457,7127,45047
1446,7031,45365
1432,7122,45402
1433,7234,45439
1435,7212,45452
1437,7210,45321
1453,7333,45195
1438,7209,45322
1440,7139,45259
1442,7204,45371
1452,7352,45229
1454,7203,45234
1443,7134,45244
1444,7241,45527
1449,7204,45276
1460,7105,45424
1447,7242,45400
1451,7296,45439
1455,7231,45215
1459,7021,45011
1461,7120,45217
1470,7093,45242
1456,7092,45416
1475,7229,45299
1478,7298,45587
1469,7179,45246
1464,7103,45306
1484,7159,45444
1462,7162,45286
1476,7230,45130
1458,7255,45176
1465,6982,44966
1463,7293,45495
1468,7197,45280
1483,7058,45334
1467,6928,44983
1473,7222,45223
1471,7251,45323
1466,6961,45103
1477,7234,45459
1481,7269,45261
1489,7133,45374
1480,7181,45342
1472,6983,44926
1474,7164,45201
1485,7116,45168
1487,7120,45263
1500,7019,45367
1490,7145,45508
1494,7084,45203
1482,7187,45432
1497,6994,45273
1479,7195,45763
1503,7135,45126
1495,7241,45023
1493,7090,45287
1491,7302,45229
1488,7005,44950
1510,7099,44959
1509,7139,45233
1486,7157,45161
1508,6968,45099
1498,7260,45133
1492,7190,45363
1506,7199,45315
1496,6983,45065
1507,7061,45221
1514,7028,45172
1505,7053,45269
1504,6985,45227
1512,6927,45397
1499,6979,45077
1502,7216,45187
1513,7105,45096
1501,7067,44980
1511,7154,45233
1526,16381,88478
1519,16819,88162
1566,16714,88536
1559,16611,88448
1584,16590,88126
1515,16556,88472
1575,16595,88445
1539,16532,88695
1518,16780,88689
1544,16604,88497
1555,16731,88626
1563,16623,88195
1585,16522,88357
1541,16606,88706
1577,16562,88465
1525,16586,88717
1521,16807,88709
1592,16665,88441
1591,16585,88438
1594,16481,88364
1533,16975,88458
1590,16445,88145
1523,16477,88514
1527,16807,88894
1517,17035,89037
1524,16835,88594
1536,16593,88547
1535,16585,88412
1548,16711,88580
1534,16304,88530
1530,17024,88752
1560,16592,88612
1531,16599,88674
1581,16555,88487
1529,16620,88041
1549,16543,87987
1537,16626,88698
1516,16819,88994
1520,16641,88503
1542,16716,88322
1595,16560,87988
1552,16563,88447
1532,16331,88366
1567,16526,88076
1562,16802,88506
1553,16853,88490
1522,16698,88628
1556,16505,88509
1543,16746,88408
1528,16790,88679
1545,16565,88036
1558,16739,88442
1571,16606,88377
1546,16764,88533
1550,16606,88496
1547,16558,88563
1573,16584,88060
1557,16497,88272
1570,16486,88415
1561,16689,88600
1554,16669,88393
1538,16609,88275
1565,16631,88469
1582,16684,88168
1568,16679,88606
1551,16786,88713
1572,16538,88483
1589,16702,88022
1579,16788,88648
1587,16795,88589
1601,16256,88200
1574,16671,88184
1583,16458,88215
1580,16819,88512
1586,16584,88345
1598,16466,88253
1540,16756,88390
1569,16454,88462
1564,16577,88437
1578,16894,88265
1600,16548,88241
1597,16684,88250
1576,16653,88396
1588,16624,88265
1599,16404,88327
1593,16547,88435
1609,16699,88298
1612,16396,88165
1607,16712,88306
1603,16567,88365
1604,16755,88158
1618,16536,88285
1610,16777,88268
1596,16871,88540
1614,16461,88337
1605,16732,88332
1623,16559,87945
1639,16619,88503
1627,16590,88211
1615,16666,88327
1644,16781,88133
1616,16662,88090
1602,16638,88296
1640,16522,88049
1613,16679,88404
1617,16359,87727
1656,16554,88132
1665,16479,87883
1606,16517,88185
1674,16350,87962
1678,16434,87979
1611,16371,88326
1647,16542,88452
1624,16354,87996
1628,16714,88293
1608,16485,88387
1620,16610,88344
1652,16615,87940
1621,16655,88276
1642,16735,88256
1655,16475,88101
1630,16577,88026
1626,16520,87939
1664,16572,88333
1679,16593,87966
1666,16342,88041
1637,16534,88351
1682,16426,87893
1686,16526,87878
1631,16640,88376
1671,16347,87838
1641,16795,87855
1619,16579,88095
1632,16326,87960
1658,16638,88245
1667,16652,87969
1635,16637,87881
1670,16523,87948
1676,16111,87965
1638,16488,87886
1625,16549,88308
1622,16710,88257
1669,16487,87624
1654,16504,88145
1646,16591,88131
1648,16699,88280
1645,16570,87910
1651,16542,88325
