id,milp_obj,expected_obj,I_size,v1_size,v2_size,time
120,48.68181705126848,57.68131771043769,137,2291,20232,0.0052404379966901615
122,0.0034458947408854217,0.0034458947408855245,3,12,12,0.0002389129949733615
121,86.00370990697127,105.80898116953563,210,3747,27131,0.008475691996864043
123,46.762783896003434,56.10417021284651,2526,9830,11057,0.022011028006090783
126,0.029317578323225447,0.032368273314401064,2,9,18,0.00024225701054092497
119,292.1826312877779,502.15052318588056,1410,19246,37818,0.04045720100111794
128,0.21020547931721353,0.2186293176760652,19,97,252,0.0004316080012358725
127,44.58344321054771,53.19450495305079,2461,9435,10702,0.02189541098778136
124,279.3044068582257,471.67195350927614,1226,17773,38598,0.04020750999916345
130,0.2507912313144856,0.2593129908446288,35,141,332,0.0005181350134080276
118,218.79405327358555,365.4241227557243,5000,30476,20964,0.06874400300148409
125,287.09567739480184,493.3887935805203,1375,18479,37945,0.03893722899374552
131,21.258997784197877,23.929255570375805,1187,4725,7311,0.010818009002832696
133,0.26094638482914634,0.2689742524398473,42,152,375,0.0005429159937193617
132,244.9542054871781,378.4787822610129,797,12188,39994,0.026485415000934154
134,131.8792396807205,172.52756215700046,333,5651,32865,0.01303169499442447
129,296.4519631243549,533.7720239024771,2587,26368,31501,0.058362447991385125
137,3.677522638944399,3.9031542696018464,306,1260,2428,0.003086287993937731
138,6.657298603171818,7.517640720633322,29,602,6533,0.001577317001647316
140,7.328547574803986,7.849004514206208,502,2025,3778,0.004637129997718148
141,13.807194058277146,15.06746995549395,835,3307,5679,0.0073064800089923665
139,56.73332207760671,69.45855189018955,3037,11369,11744,0.024932583008194342
136,299.97190812986355,524.6719293125748,1617,20852,36674,0.04359662999922875
143,17.745810446813216,20.196192651056425,54,1133,11320,0.002625730005092919
144,0.021773529329692873,0.021884506866522213,5,23,41,0.0002585519978310913
135,132.83835589030267,191.71548383948186,5711,24502,15457,0.05216209898935631
142,166.08478191224972,231.87715624450283,451,7598,36814,0.016344844989362173
146,19.34884004176456,21.417440916477997,69,1126,11710,0.002647681991220452
147,95.44107596583966,119.28949684919465,262,4276,28643,0.009792269003810361
148,29.745099868167742,33.89485778846717,1551,6138,8722,0.0174152609979501
149,166.90974660381775,227.49520540038876,440,7235,36306,0.01573843199003022
151,65.08340552500488,80.89468299720899,162,3111,23977,0.007080205992679112
152,27.368033444351042,32.30252285480451,98,1571,14421,0.0035113399935653433
150,198.64573570683766,283.0206780010236,540,8846,38250,0.019446132995653898
145,267.59881602301726,475.26896672265855,3619,29778,26400,0.06482470099581406
154,4.74116754463624,5.048226639577686,386,1561,3009,0.003320542993606068
153,1.2358741006848006,1.2861448780403246,153,656,1402,0.0022552629961865023
155,7.315912730205268e-05,7.315912730210261e-05,1,3,1,0.0001933210005518049
159,0.0060926248601212915,0.0060926248601215205,2,5,14,0.00022054699365980923
161,50.4649264734235,59.85340932308253,129,2434,20696,0.005508068992639892
157,84.29157009283834,109.97315419805805,4449,16963,13331,0.03944417499587871
156,294.8786521228402,533.1149219137174,2393,25401,32348,0.05575053200300317
165,0.5133858422184665,0.5475856677391967,74,301,701,0.0008236540015786886
158,288.13963187138324,490.5677100800018,1407,18817,37657,0.057383028004551306
164,0.7443540540234839,0.7881128206188722,117,433,944,0.0011833309981739148
162,90.88547178095264,121.98800397125848,4618,18092,13874,0.041991737991338596
166,15.960685068223004,17.905397710312236,60,1024,10752,0.002240604007965885
167,11.062752614243042,11.93619037882333,770,2995,5156,0.006999999997788109
160,109.7078899324358,150.57734626144463,5316,20939,14347,0.045876499003497884
170,0.28045519819265147,0.2941472017111316,35,150,335,0.00045982899609953165
