id,graph,budget,agent,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
170,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md28.json,0,48925
171,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn28.json,0,42941
172,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me11.json,0,21834
173,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi18.json,0,18047
174,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf22.json,0,26105
175,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma13.json,0,75766
176,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj24.json,0,15707
177,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb9.json,0,21976
178,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo33.json,0,44262
179,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj31.json,0,23776
180,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi24.json,0,30080
181,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn15.json,0,66842
182,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma8.json,0,61373
183,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn18.json,0,6776
184,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi30.json,0,92787
185,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma32.json,0,55016
186,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh12.json,0,9474
187,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg30.json,0,58053
188,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md7.json,0,21959
189,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md9.json,0,5530
190,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn13.json,0,94856
191,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma33.json,0,3748
192,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc20.json,0,97504
193,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me25.json,0,98098
194,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md31.json,0,13545
195,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm24.json,0,66199
196,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me23.json,0,34766
197,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp13.json,0,73530
198,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh29.json,0,93557
