G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,k_1,k_2,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,0.7,0,40368,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 458, 810, 1256, 2012, 3031, 4009, 5182, 5528, 5296, 4107, 3057, 1949, 1248, 764, 460, 275, 156, 85, 50, 18, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,6,40516,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 703, 1135, 1806, 2765, 3818, 4929, 5626, 5347, 4515, 3293, 2240, 1384, 834, 474, 290, 159, 84, 32, 6, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,0,40403,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 499, 811, 1230, 1975, 3078, 4078, 5035, 5415, 5092, 4262, 3106, 2047, 1292, 800, 446, 291, 163, 98, 43, 20, 6, 6, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,0.7,3,40516,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 434, 683, 1110, 1766, 2632, 3761, 4759, 5236, 5313, 4460, 3587, 2353, 1535, 948, 573, 337, 201, 106, 53, 34, 15, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,1,40481,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 784, 1260, 2036, 3024, 4079, 5199, 5483, 5257, 4229, 3051, 1982, 1281, 723, 467, 268, 129, 85, 36, 13, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,3,40356,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 784, 1186, 1910, 2810, 3964, 4878, 5527, 5293, 4310, 3236, 2107, 1396, 801, 507, 275, 141, 76, 42, 17, 8, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.06,0.7,0,40387,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 777, 1263, 2014, 3035, 4172, 5130, 5610, 5249, 4113, 3049, 1991, 1240, 731, 400, 259, 140, 62, 32, 12, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,9,40300,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 720, 1136, 1826, 2696, 3828, 4799, 5454, 5247, 4380, 3375, 2255, 1458, 891, 519, 288, 159, 85, 47, 18, 10, 0, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,3,40398,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 498, 774, 1312, 2030, 3044, 4110, 5175, 5460, 5237, 4170, 3037, 1973, 1243, 785, 439, 232, 137, 77, 40, 13, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,9,40699,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 719, 1132, 1768, 2635, 3792, 4922, 5485, 5295, 4470, 3389, 2293, 1491, 961, 558, 334, 182, 109, 47, 28, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,2,40225,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 460, 739, 1166, 1900, 2887, 4097, 5172, 5548, 5280, 4311, 3032, 2022, 1247, 793, 445, 234, 126, 83, 38, 27, 7, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,7,40030,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 732, 1146, 1820, 2721, 3764, 4797, 5277, 5202, 4480, 3372, 2250, 1417, 861, 488, 299, 167, 95, 51, 23, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,7,40505,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 832, 1259, 2009, 2999, 4113, 5000, 5531, 5135, 4293, 3135, 2108, 1341, 697, 449, 239, 134, 62, 37, 13, 2, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,5,40030,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 740, 1171, 1857, 2783, 3901, 4899, 5423, 5251, 4451, 3230, 2159, 1327, 819, 409, 237, 147, 58, 41, 22, 9, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,6,40497,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 679, 1080, 1810, 2650, 3824, 4947, 5496, 5286, 4548, 3332, 2311, 1448, 892, 510, 289, 170, 83, 44, 24, 8, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,8,40404,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 702, 1099, 1801, 2634, 3719, 4771, 5496, 5361, 4600, 3372, 2299, 1423, 891, 501, 290, 171, 103, 48, 26, 5, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.05,0.7,1,40397,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 799, 1291, 1961, 2847, 4001, 4959, 5557, 5192, 4280, 3145, 2127, 1321, 784, 479, 261, 155, 69, 48, 24, 4, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.09,0.7,5,40508,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 740, 1156, 1833, 2733, 3849, 4859, 5497, 5420, 4491, 3354, 2219, 1386, 846, 458, 253, 158, 80, 45, 14, 7, 0]"
