G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,q_age_count,infection_count,infections_step
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,6,"[0.04879479028425049, 0.04861225160124815, 0.04792944785276074, 0.08820538891713268, 0.08861543909348442]",38502,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 507, 690, 1029, 1493, 2180, 2952, 3841, 4545, 4873, 4431, 3786, 2816, 1922, 1201, 692, 446, 238, 144, 62, 32, 8, 3, 1, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,8,"[0.048084935650134254, 0.047873213992445394, 0.04677914110429448, 0.08159633960345704, 0.08746458923512748]",39076,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 670, 1049, 1509, 2187, 3046, 3896, 4589, 4755, 4518, 3783, 2906, 2070, 1281, 784, 460, 267, 126, 60, 22, 2, 1, 0, 1, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,7,"[0.049566371408289865, 0.04992609623911973, 0.048951942740286296, 0.08566344687341129, 0.08958923512747875]",39159,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 493, 704, 1086, 1570, 2263, 3149, 4080, 4647, 4870, 4564, 3724, 2795, 1776, 1167, 729, 421, 262, 134, 76, 24, 13, 1, 1, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,5,"[0.048362704854788434, 0.04696994580390869, 0.049079754601226995, 0.08464667005592272, 0.0879957507082153]",39412,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 739, 1022, 1502, 2049, 2935, 3775, 4527, 5012, 4692, 4052, 3027, 2033, 1285, 789, 439, 252, 106, 50, 25, 8, 3, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,9,"[0.04799234591524953, 0.04672359993430777, 0.048824130879345604, 0.08312150482968989, 0.0880842776203966]",39329,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 706, 1023, 1485, 2197, 2976, 3943, 4835, 5007, 4846, 3876, 2774, 1829, 1189, 730, 399, 239, 104, 45, 24, 8, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,8,"[0.05623283231999012, 0.05887666283461981, 0.05732361963190184, 0.05490594814438231, 0.05931303116147309]",39226,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 696, 1022, 1528, 2116, 2935, 3908, 4625, 4929, 4604, 3956, 2855, 2005, 1315, 770, 424, 240, 116, 67, 28, 9, 2, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,4,"[0.05706613993395265, 0.0592051239940877, 0.05783486707566462, 0.06024402643619726, 0.057188385269121816]",39005,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 651, 967, 1355, 1939, 2688, 3524, 4310, 4847, 4714, 4151, 3155, 2191, 1438, 878, 529, 295, 165, 72, 35, 14, 6, 7, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,5,"[0.05864016542699299, 0.056905895877812446, 0.05943251533742331, 0.05770208439247585, 0.05701133144475921]",39260,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 667, 977, 1397, 1938, 2747, 3558, 4415, 4865, 4990, 4172, 3112, 2149, 1331, 836, 486, 269, 143, 77, 35, 16, 4, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,1,"[0.05141816610598438, 0.06528165544424372, 0.06582310838445808, 0.05973563802745297, 0.0625]",39124,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 628, 873, 1292, 1829, 2599, 3585, 4387, 5030, 4747, 4136, 3213, 2229, 1410, 937, 541, 343, 153, 86, 31, 13, 1, 0, 1, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,4,"[0.05030708928736767, 0.059862046313023484, 0.06780419222903886, 0.06481952211489578, 0.06347379603399433]",39041,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 674, 992, 1440, 2027, 2773, 3657, 4355, 4810, 4604, 3915, 3035, 2207, 1456, 900, 513, 286, 167, 79, 28, 12, 2, 3, 0]"
