id,graph,budget,agent,agent_params,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
88,montgomery,750,binary_segmented_greedy,{'k1': 0.17},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,9268
89,montgomery,750,binary_segmented_greedy,{'k1': 0.17},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,86807
90,montgomery,750,binary_segmented_greedy,{'k1': 0.18},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,12185
91,montgomery,750,binary_segmented_greedy,{'k1': 0.18},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,63704
92,montgomery,750,binary_segmented_greedy,{'k1': 0.18},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,86779
93,montgomery,750,binary_segmented_greedy,{'k1': 0.18},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,39099
94,montgomery,750,binary_segmented_greedy,{'k1': 0.18},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,8571
95,montgomery,750,binary_segmented_greedy,{'k1': 0.19},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,38044
96,montgomery,750,binary_segmented_greedy,{'k1': 0.19},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,51214
97,montgomery,750,binary_segmented_greedy,{'k1': 0.19},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,61228
98,montgomery,750,binary_segmented_greedy,{'k1': 0.19},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,48984
99,montgomery,750,binary_segmented_greedy,{'k1': 0.19},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,40774
100,montgomery,750,binary_segmented_greedy,{'k1': 0.2},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,2568
101,montgomery,750,binary_segmented_greedy,{'k1': 0.2},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,62592
102,montgomery,750,binary_segmented_greedy,{'k1': 0.2},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,67563
103,montgomery,750,binary_segmented_greedy,{'k1': 0.2},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,2695
104,montgomery,750,binary_segmented_greedy,{'k1': 0.2},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,48190
105,montgomery,750,binary_segmented_greedy,{'k1': 0.21},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,5258
106,montgomery,750,binary_segmented_greedy,{'k1': 0.21},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,87538
107,montgomery,750,binary_segmented_greedy,{'k1': 0.21},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,39504
108,montgomery,750,binary_segmented_greedy,{'k1': 0.21},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,33159
109,montgomery,750,binary_segmented_greedy,{'k1': 0.21},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,13986
110,montgomery,750,binary_segmented_greedy,{'k1': 0.22},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,61858
111,montgomery,750,binary_segmented_greedy,{'k1': 0.22},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,12666
112,montgomery,750,binary_segmented_greedy,{'k1': 0.22},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,38660
113,montgomery,750,binary_segmented_greedy,{'k1': 0.22},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,3561
114,montgomery,750,binary_segmented_greedy,{'k1': 0.22},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,26854
115,montgomery,750,binary_segmented_greedy,{'k1': 0.23},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,64505
116,montgomery,750,binary_segmented_greedy,{'k1': 0.23},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,52251
117,montgomery,750,binary_segmented_greedy,{'k1': 0.23},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,22662
118,montgomery,750,binary_segmented_greedy,{'k1': 0.23},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,8392
119,montgomery,750,binary_segmented_greedy,{'k1': 0.23},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,30535
120,montgomery,750,binary_segmented_greedy,{'k1': 0.24},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,78603
121,montgomery,750,binary_segmented_greedy,{'k1': 0.24},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,52256
122,montgomery,750,binary_segmented_greedy,{'k1': 0.24},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,89135
123,montgomery,750,binary_segmented_greedy,{'k1': 0.24},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,35222
124,montgomery,750,binary_segmented_greedy,{'k1': 0.24},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,77373
125,montgomery,750,binary_segmented_greedy,{'k1': 0.25},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,79575
126,montgomery,750,binary_segmented_greedy,{'k1': 0.25},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,96354
127,montgomery,750,binary_segmented_greedy,{'k1': 0.25},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,84651
128,montgomery,750,binary_segmented_greedy,{'k1': 0.25},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,63335
129,montgomery,750,binary_segmented_greedy,{'k1': 0.25},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,10965
130,montgomery,750,binary_segmented_greedy,{'k1': 0.26},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,24538
131,montgomery,750,binary_segmented_greedy,{'k1': 0.26},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,70592
132,montgomery,750,binary_segmented_greedy,{'k1': 0.26},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,98018
133,montgomery,750,binary_segmented_greedy,{'k1': 0.26},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,8110
134,montgomery,750,binary_segmented_greedy,{'k1': 0.26},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,79309
135,montgomery,750,binary_segmented_greedy,{'k1': 0.27},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,27266
136,montgomery,750,binary_segmented_greedy,{'k1': 0.27},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,52992
137,montgomery,750,binary_segmented_greedy,{'k1': 0.27},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,82948
138,montgomery,750,binary_segmented_greedy,{'k1': 0.27},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,98806
139,montgomery,750,binary_segmented_greedy,{'k1': 0.27},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,6910
140,montgomery,750,binary_segmented_greedy,{'k1': 0.28},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,90982
141,montgomery,750,binary_segmented_greedy,{'k1': 0.28},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,206
142,montgomery,750,binary_segmented_greedy,{'k1': 0.28},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,87054
143,montgomery,750,binary_segmented_greedy,{'k1': 0.28},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,87897
144,montgomery,750,binary_segmented_greedy,{'k1': 0.28},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,23419
145,montgomery,750,binary_segmented_greedy,{'k1': 0.29},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,50636
146,montgomery,750,binary_segmented_greedy,{'k1': 0.29},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,50015
147,montgomery,750,binary_segmented_greedy,{'k1': 0.29},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,54268
148,montgomery,750,binary_segmented_greedy,{'k1': 0.29},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,87939
149,montgomery,750,binary_segmented_greedy,{'k1': 0.29},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,18141
150,montgomery,750,binary_segmented_greedy,{'k1': 0.3},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,80356
151,montgomery,750,binary_segmented_greedy,{'k1': 0.3},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,71910
152,montgomery,750,binary_segmented_greedy,{'k1': 0.3},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,56044
153,montgomery,750,binary_segmented_greedy,{'k1': 0.3},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,67214
154,montgomery,750,binary_segmented_greedy,{'k1': 0.3},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,33827
155,montgomery,750,binary_segmented_greedy,{'k1': 0.31},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,55820
156,montgomery,750,binary_segmented_greedy,{'k1': 0.31},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,62623
157,montgomery,750,binary_segmented_greedy,{'k1': 0.31},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,81734
