id,peak,total
1232,4735,38429
1234,4839,38365
1235,4752,38458
1238,4603,38315
1237,4807,38516
1236,4739,38543
1241,4755,38643
1242,4769,38310
1240,4727,38186
1239,4879,38647
1246,4723,38308
1243,4697,38285
1245,4763,38479
1244,4767,38268
1247,4749,38572
1249,4612,38068
1248,4760,38381
1250,4861,38684
1251,4809,38298
1253,4791,38547
1252,4813,38522
1256,4622,38126
1257,4622,38212
1255,4898,38437
1254,4705,38419
1258,4638,38355
1262,4721,38142
1261,4715,38345
1260,4738,38227
1263,4809,38356
1259,4658,38041
1265,4659,38303
1264,4516,38197
1266,4655,38342
1267,4709,38376
1270,4674,38089
1269,4700,38193
1268,4821,38244
1273,4634,38023
1271,4643,37929
1275,4760,38114
1274,4633,38052
1272,4925,38088
1276,4731,38344
1278,4694,38001
1277,4761,38227
1280,4754,38085
1279,4668,38266
1281,4730,38215
1282,4639,38322
1284,4628,38070
1286,4762,38435
1285,4492,38136
1283,4730,38501
1288,4630,38200
1287,4840,38135
1289,4780,38409
1290,4714,38091
1291,4878,38572
1295,4638,38037
1294,4727,38215
1296,4734,38331
1292,4772,38279
1293,4666,38221
1297,4807,38431
1299,4761,38279
1298,4638,38211
1301,4569,38067
1303,4537,37830
1300,4735,38480
1302,4604,38103
1305,4643,38167
1306,4479,37776
1304,4564,37688
1307,4707,38299
1308,4635,38516
1309,4641,38164
1310,4552,37752
1311,4545,38062
1312,4529,38300
1313,4587,37991
1314,4668,38451
1315,4636,38291
1317,4714,37957
1316,4693,38593
1318,4569,37923
1319,4622,37956
1323,4521,38039
1322,4541,37927
1320,4549,37917
1321,4559,38044
1324,4554,38237
1328,4589,38048
1329,4655,38217
1325,4650,38384
1326,4564,37738
1330,4561,38127
1327,4630,37876
1331,4564,37833
1333,4613,38201
1332,4669,38101
1334,4494,38112
1336,4540,37870
1335,4643,37898
1337,4474,37576
1339,4586,37952
1338,4501,38161
1342,4525,38003
1343,4519,38050
1340,4520,38199
1341,4490,37803
1344,4451,37863
1346,4518,38190
1345,4591,38329
1349,4525,37830
1347,4475,37848
1348,4580,37985
1350,4401,37804
1351,4603,37954
1353,4656,37705
1352,4582,38109
1354,4354,37787
1356,4682,38353
1355,4386,37867
1359,4486,37664
1358,4453,38044
1357,4437,37790
1361,4521,37613
1360,4498,37785
1362,4420,37968
1363,4514,37999
1364,4544,37859
1365,4705,38253
1367,4620,37990
1366,4361,37654
1368,4510,37953
1369,4545,37824
1370,4490,37856
1371,4523,37925
1374,4397,37805
1372,4629,37925
1375,4417,37583
1376,4569,38022
1373,4446,38011
1377,4462,37752
1378,4511,37969
1379,4637,37793
1381,4543,37692
1380,4456,37697
1382,4368,37584
1384,4301,37852
1386,4581,37887
1385,4499,37639
1387,4612,37868
1383,4494,37791
1389,4612,37560
1390,4398,37970
1388,4410,37501
1391,4472,37816
1392,4460,38061
1393,4386,37424
1396,4696,38118
1394,4347,37832
1395,4459,37755
1398,4469,37543
1397,4361,37717
1400,4505,37644
1399,4440,37669
1401,4358,37884
1404,4424,37649
1402,4387,37387
1405,4476,37238
1403,4460,37690
1407,4441,37895
1406,4529,37589
1411,4497,37982
1410,4504,37492
1409,4440,37694
1408,4235,37534
1413,4437,37853
1414,4463,37715
1412,4375,37397
1416,4578,37809
1415,4443,37495
1417,4463,37414
1419,4355,37897
1418,4335,37675
1420,4280,37430
1421,4397,37921
1422,4386,37562
1423,4340,37675
1424,4367,37729
1427,4443,37805
1425,4410,37458
1426,4252,37082
1429,4416,37538
1428,4395,37468
1430,4252,37544
1432,4406,37235
1431,4498,37934
1433,4481,37987
1434,4347,37743
1436,4174,37172
1435,4306,37580
1437,4539,37528
1438,4422,37742
1439,4226,37619
1443,4501,37659
1442,4156,37700
1441,4377,37225
1440,4280,37448
1444,4199,37173
1446,4379,37487
1445,4297,37017
1448,4359,37668
1447,4242,37516
1449,4369,37702
1451,4364,37630
1450,4254,37477
1454,4338,37582
1452,4228,37127
1453,4459,37593
1455,4217,37104
1456,4430,37617
1458,4289,37674
1457,4416,37715
1459,4337,37358
1461,4306,37300
1460,4265,37154
1462,4355,37559
1465,4289,37268
1464,4198,37774
1463,4334,37239
1466,4305,37564
1468,4364,37202
1467,4429,37459
1470,4379,37386
1469,4372,37574
1475,4419,37821
1471,4311,37540
1474,4456,37286
1476,4321,37348
1477,4277,37248
1473,4273,37391
1472,4238,37433
1478,4359,37542
1479,4167,37373
1482,4287,37161
1481,4325,37258
1480,4215,37322
1485,4212,37189
1483,4361,37425
